event_cluster_id,first_published_at,cluster_size,n_publishers,publishers,sample_titles,span_days,inspection_verdict,inspection_note,highlighted
evt_9e8c7c964cbd,2026-09-20T04:05:13Z,2,2,dantri.com.vn; vnexpress.net,"Tổng Bí thư, Chủ tịch nước Tô Lâm lên đường công du Mỹ, Canada | Tổng Bí thư, Chủ tịch nước lên đường công du Mỹ, Canada",0.05,SAME_EVENT,"Party chief/President departs for US-Canada. Also a Phase 2B duplicate family (syndicated copy), so excluded from the independent network",True
evt_1717a7c157cd,2026-09-20T04:53:33Z,2,2,dantri.com.vn; vnexpress.net,"Bức Tường lần đầu kết hợp Rhyder | Bức Tường và RHYDER lần đầu song ca ""Tâm hồn của đá"", khán giả phấn khích",0.09,SAME_EVENT,Buc Tuong x Rhyder collaboration,False
evt_905493b56bab,2026-09-20T05:00:00Z,2,2,dantri.com.vn; tuoitre.vn,"Bộ trưởng Giáo dục: ""Cộng điểm IELTS có thể gây bất công"" | Bỏ điểm cộng IELTS: Công bằng hay mất động lực học ngoại ngữ?",0.35,PLAUSIBLE,"IELTS bonus-points policy: minister quote vs opinion piece; same debate, different article types",False
evt_999f3ec12485,2026-09-20T05:35:07Z,4,3,dantri.com.vn; tuoitre.vn; vietnamnet.vn,"Tài xế ô tô khách vi phạm nồng độ cồn 'kịch khung', cùng chủ xe bị phạt 70 triệu | Tài xế ô tô tải ở Hải Phòng bị phạt vì lái xe quá thời gian quy định | Người dân báo Cục trưởng CSGT xe chở gấp đôi số người, tài xế và chủ xe bị phạt 174 triệu | Từ tin báo đến Cục trưởng CSGT, tài xế và chủ ô tô khách bị phạt 174 triệu đồng",0.33,MIXED,Bus fined 174m after report to CSGT chief (2 pieces) vs alcohol/owner fine 70m and an unrelated Hai Phong truck fine,True
evt_73749c945b8d,2026-09-20T05:46:54Z,3,3,thanhnien.vn; tuoitre.vn; vnexpress.net,Chưa thí điểm thi tốt nghiệp THPT trên máy tính năm 2027 | Chưa thí điểm thi tốt nghiệp THPT trên máy tính vào 2027 | Năm 2027 chưa thí điểm thi tốt nghiệp THPT trên máy tính,0.29,SAME_EVENT,No computer-based THPT exam pilot in 2027; near-identical headlines from 3 publishers,True
evt_97dfc8706783,2026-09-20T05:52:37Z,2,2,dantri.com.vn; thanhnien.vn,"Tuyển bóng chuyền nữ Việt Nam thất bại trước Trung Quốc ở tứ kết Asiad 20 | Thua Hồng Kông, bóng ném nữ Việt Nam còn cơ hội nào ở ASIAD 20?",0.26,DIFFERENT,"Women's volleyball vs handball at the same Asian Games: same tournament, different events",True
evt_4b34cba94edc,2026-09-20T06:24:36Z,2,2,dantri.com.vn; vietnamnet.vn,"Bức xúc cảnh người phụ nữ bị nhắc vẫn đổ cả túi rác xuống kênh Nhiêu Lộc, TPHCM | Xả thải bừa bãi, 2 người phụ nữ ở Tây Ninh bị phạt 1,5 triệu đồng",0.25,DIFFERENT,"Litter in Nhieu Loc canal vs fined dumpers in Tay Ninh: same theme, different events",False
evt_e78c61455165,2026-09-20T07:00:00Z,2,2,dantri.com.vn; tuoitre.vn,"Kỳ vọng Việt Nam và Mỹ sẽ tăng cường hợp tác trên các lĩnh vực cốt lõi | Nhu cầu Việt Nam, thế mạnh Mỹ: Điểm chạm của hợp tác",0.24,PLAUSIBLE,Both about the Vietnam-US cooperation context of the leader's visit,False
evt_37807a2008c3,2026-09-20T07:41:00Z,2,2,thanhnien.vn; tuoitre.vn,"TP.HCM có một ‘con đường mùa thu’ đẹp như phim Hàn, giới trẻ mê mẩn | TP.HCM vào mùa lá rụng: Con đường 'mùa thu' gây sốt, nhiều người đến chụp ảnh",0.12,SAME_EVENT,HCMC autumn-leaf street,False
evt_4da47432d789,2026-09-20T08:15:00Z,3,3,dantri.com.vn; thanhnien.vn; vietnamnet.vn,Tìm nhân chứng về nơi chôn cất liệt sĩ Mậu Thân 1968 ở Gò Vấp | TPHCM tìm nhân chứng về nơi chôn cất hơn 100 liệt sĩ Mậu Thân 1968 ở Gò Vấp | TPHCM tìm nhân chứng về nơi chôn cất hơn 100 liệt sĩ trận Tết Mậu Thân 1968,0.14,SAME_EVENT,Search for witnesses of 1968 martyr graves in Go Vap; 3 publishers,False
evt_833dd9b278ea,2026-09-20T08:26:08Z,2,2,dantri.com.vn; thanhnien.vn,"Houthi tấn công thủ đô Riyadh của Ả rập Xê út, xung đột leo thang | Houthi lần đầu tấn công thủ đô Ả Rập Xê Út",0.13,SAME_EVENT,Houthi attack on Riyadh,False
evt_12d2d94d4b3f,2026-09-20T08:42:00Z,3,2,thanhnien.vn; tuoitre.vn,"Dự đoán tỷ số đội tuyển nữ Việt Nam thắng Thái Lan: Rượt đuổi kịch tính, Bích Thùy lập công | Xác định giờ thi đấu mới nhất đội tuyển nữ Việt Nam - Thái Lan: Nhiều kênh phát trực tiếp | Đội tuyển nữ Việt Nam hoàn tất các khâu chuẩn bị cho trận đấu với Thái Lan",0.09,SAME_EVENT,Women's football Vietnam v Thailand match previews,False
evt_b989975ff971,2026-09-20T08:49:00Z,2,2,dantri.com.vn; thanhnien.vn,Sáp nhập Trung tâm y tế Quân dân y Côn Đảo vào Bệnh viện Nhân dân 115 | Bệnh viện Nhân Dân 115 sẽ triển khai cơ sở 2 tại đặc khu Côn Đảo,0.1,SAME_EVENT,Con Dao medical centre merged into Hospital 115,False
evt_61e7f2ae8669,2026-09-20T11:54:42Z,3,3,dantri.com.vn; tuoitre.vn; vietnamnet.vn,"Xác minh clip ""thầy trò Đường Tăng"" cưỡi ngựa vào làn ô tô ở TPHCM | Xác minh clip '4 thầy trò Đường Tăng' cưỡi ngựa, đi bộ vào làn ô tô đường Phan Văn Khải | Clip nhóm người hóa trang ‘thầy trò Đường Tăng’ cưỡi ngựa, đi bộ trên làn ô tô",0.11,SAME_EVENT,"Costumed ""Tang Monk"" group riding horses in HCMC car lane; 3 publishers",True
evt_35200cc7220e,2026-09-20T12:10:00Z,2,2,dantri.com.vn; tuoitre.vn,"Phố Hàng Mã đông kín người, rực rỡ sắc màu dịp cận Trung thu | Phố Hàng Mã rực rỡ sắc màu đón ""biển người"" đến vui Trung thu sớm",0.13,SAME_EVENT,Hang Ma street before Mid-Autumn,False
evt_13986f343684,2026-09-20T14:33:00Z,3,3,dantri.com.vn; tuoitre.vn; vietnamnet.vn,Bắt khẩn cấp 7 người trong vụ chạy ô tô tông vào đám đông tại phường Chợ Quán | Bắt khẩn cấp 7 đối tượng vụ lao ô tô vào đám đông trước quán nhậu ở TPHCM | Bắt khẩn cấp 7 đối tượng trong vụ ô tô tông người và loạt xe máy ở TPHCM,0.04,SAME_EVENT,"Car ploughing into crowd at Cho Quan, 7 arrested; 3 publishers within ~1h",True
