qc_row,stratum,left_article_id,right_article_id,manual_label,failure_pattern,rationale,left_publisher,right_publisher,left_title,right_title,left_event_cluster_id,right_event_cluster_id,cosine_distance,days_apart,labeler
10,INTRA_CLUSTER_WEAKEST_LINK,45f4fe952b8b3ad9,ca657e25ca4ff2ec,UNCERTAIN,GENERIC_INCIDENT,"Cars hitting motorbikes in HCMC; 5 bikes at bar vs 3 bikes at red light, likely different incidents",vietnamnet.vn,vietnamnet.vn,"Ô tô bất ngờ tông 5 xe máy trước quán nhậu, người dân giận dữ chặn đầu phương tiện","Ô tô Mercedes tông liên hoàn 3 xe máy dừng đèn đỏ, kéo lê 10m ở TPHCM",evt_f819ca9af2a0,evt_f819ca9af2a0,0.2912,2.664,Claude (provisional; needs human spot-check)
11,INTRA_CLUSTER_WEAKEST_LINK,aa25e93e9415248a,70ead58afccac978,DIFFERENT_EVENT,WEATHER_SERIES,Weather digests for 1/9 vs 5/9,vietnamnet.vn,vietnamnet.vn,"Miền Bắc, Trung Bộ nắng nóng cuối kỳ nghỉ lễ; bão số 5 sắp hình thành","Dự báo thời tiết 5/9/2026: Cả nước nắng nhẹ sáng khai giảng, chiều có thể mưa",evt_ffdbd8a26cec,evt_ffdbd8a26cec,0.2909,3.947,Claude (provisional; needs human spot-check)
12,INTRA_CLUSTER_WEAKEST_LINK,2bded7df1df9f911,545bc5305b21c916,SAME_EVENT,NONE,"Same holiday exodus (2/9 holiday, Hanoi gateways)",vietnamnet.vn,vietnamnet.vn,"Người dân về quê dịp nghỉ lễ 2/9, cửa ngõ Hà Nội đông đúc","Tránh tắc đường vào ngày đầu nghỉ lễ 2/9, người Hà Nội ùn ùn về quê trong đêm",evt_15f306689187,evt_15f306689187,0.2906,0.16,Claude (provisional; needs human spot-check)
13,INTRA_CLUSTER_WEAKEST_LINK,f58bf3bb14409611,561781d29551b774,DIFFERENT_EVENT,GENERIC_INCIDENT,Two unrelated assault cases in An Giang,vietnamnet.vn,vietnamnet.vn,Em rể bị đánh tử vong do thường xuyên ức hiếp anh vợ,Chém người thân nhiều nhát vào cổ sau cuộc nhậu tại An Giang,evt_afd2a21c57d8,evt_afd2a21c57d8,0.2893,1.076,Claude (provisional; needs human spot-check)
14,INTRA_CLUSTER_WEAKEST_LINK,a4c8d0155e6be40b,2f86eb617d8a61fb,DIFFERENT_EVENT,GENERIC_INCIDENT,Two unrelated assaults (Hanoi street vs drinking party),vietnamnet.vn,vietnamnet.vn,Tạm giữ người đàn ông đánh người đi đường ở Hà Nội,"Sau nhậu 'tăng hai', người đàn ông dùng chậu bê tông đập bạn nhậu hôn mê",evt_ba961babeb4c,evt_ba961babeb4c,0.2889,0.635,Claude (provisional; needs human spot-check)
15,INTRA_CLUSTER_WEAKEST_LINK,cf09ff1af1b17e3d,60656a391f087d34,UNCERTAIN,SAME_TOPIC_DIFFERENT_EVENT,Both CSGT statements about tailgating clips; different clips,vietnamnet.vn,vietnamnet.vn,"Clip ô tô con đột ngột rời cao tốc, tài xế xe tải phanh 'cháy đường'","Ô tô bán tải chạy 78km/h, bám sau xe tải chưa đầy 25m trên cao tốc",evt_a9dad164872d,evt_a9dad164872d,0.2885,1.439,Claude (provisional; needs human spot-check)
16,INTRA_CLUSTER_WEAKEST_LINK,c4235d9cbae15be8,6dcc390d5516368f,SAME_EVENT,WEATHER_SERIES,Same tropical depression approaching central Vietnam on 13/9,vietnamnet.vn,vietnamnet.vn,"Áp thấp nhiệt đới cách Đà Nẵng 230km, mưa lớn xối xả khắp miền Trung","Áp thấp nhiệt đới sắp vào Hà Tĩnh - Quảng Trị, miền Bắc mưa trên 300mm",evt_30aa1f119230,evt_30aa1f119230,0.2883,0.844,Claude (provisional; needs human spot-check)
17,INTRA_CLUSTER_WEAKEST_LINK,268cbd7503a63edb,9731af589590127b,SAME_EVENT,NEWS_DIGEST,Digest 10/9 contains the same robbery arrest story,vietnamnet.vn,vietnamnet.vn,"TPHCM: Bắt nhóm thanh niên mặc áo đen, đạp vào đầu cô gái rồi cướp túi xách ở công viên","Tin tức Thời sự 10/9: Bắt nhóm hành hung, cướp túi xách của cô gái ở TPHCM",evt_55891f6c18ea,evt_55891f6c18ea,0.288,0.304,Claude (provisional; needs human spot-check)
18,INTRA_CLUSTER_WEAKEST_LINK,8ee5a58de68bff3e,b003ab5c1dff91f1,UNCERTAIN,SAME_TOPIC_DIFFERENT_EVENT,Both CSGT reporting on 2/9 holiday / tailgating enforcement; different articles,vietnamnet.vn,vietnamnet.vn,"Ngày thứ ba nghỉ lễ 2/9, CSGT xử lý 18.738 tài xế vi phạm, có 1 trường hợp không giữ khoảng cách","CSGT chỉ xử lý xe cố tình bám sát đuôi, không giữ khoảng cách trên cao tốc",evt_ae5106fcd3f4,evt_ae5106fcd3f4,0.2865,0.001,Claude (provisional; needs human spot-check)
19,INTRA_CLUSTER_WEAKEST_LINK,b9c4e98aff128330,af78eb23e5075dea,SAME_EVENT,NONE,Same Dong Nai triple-murder case (investigation vs indictment),vietnamnet.vn,vietnamnet.vn,Kết luận điều tra hé lộ nhiều tình tiết vụ giết 3 người ở Đồng Nai,Đối tượng sát hại 3 người ở Đồng Nai khai định ra tay với người yêu tại rừng tràm,evt_bd3db519efe0,evt_bd3db519efe0,0.2859,0.141,Claude (provisional; needs human spot-check)
20,INTRA_CLUSTER_WEAKEST_LINK,d015c23500965a82,59a74a883861e3a3,DIFFERENT_EVENT,SAME_TOPIC_DIFFERENT_EVENT,"UAV near Noi Bai vs Da Nang UAV zones: same topic, different events",vietnamnet.vn,vietnamnet.vn,Yêu cầu của Thiếu tướng Nguyễn Minh Tuấn ở nơi phát hiện 11 lượt UAV gần Nội Bài,Chi tiết 4 khu vực vùng trời dành cho hoạt động UAV tại Đà Nẵng,evt_3c949097be2b,evt_3c949097be2b,0.2858,2.681,Claude (provisional; needs human spot-check)
21,INTRA_CLUSTER_WEAKEST_LINK,80235a2397c8f710,5c671d54bf58667d,SAME_EVENT,NONE,Same missing schoolgirl case (bridge slippers -> body found),vietnamnet.vn,vietnamnet.vn,Vụ phát hiện đôi dép trắng và xe máy trên cầu: Tìm thấy thi thể nữ sinh 17 tuổi,"Phát hiện dép và thẻ học sinh trên cầu, nghi nữ sinh mất tích",evt_b3ed9cc20538,evt_b3ed9cc20538,0.2852,0.739,Claude (provisional; needs human spot-check)
22,INTRA_CLUSTER_WEAKEST_LINK,d371fe2c5b7a9dcd,8853128349c42e8f,SAME_EVENT,NONE,Same 29/8 holiday traffic jam at HCMC eastern gateway,vietnamnet.vn,vietnamnet.vn,"Cửa ngõ phía Đông TPHCM kẹt cứng, bến xe Miền Tây nhộn nhịp người về quê nghỉ lễ","Cửa ngõ phía Đông TPHCM ùn tắc 10km, tài xế sốt ruột xuống xe đứng chờ",evt_b6bedc3dd25a,evt_b6bedc3dd25a,0.285,0.001,Claude (provisional; needs human spot-check)
23,INTRA_CLUSTER_WEAKEST_LINK,7f0a62d5f0cc46d9,8adf97dbd49b9b5c,SAME_EVENT,WEATHER_SERIES,Same remnants of storm Saudel / storm no.5 on same day,vietnamnet.vn,vietnamnet.vn,"Bão số 5 đổi hướng trên Biển Đông, quay ngoặt về gần nơi hình thành","Tàn dư bão Saudel mạnh lên thành áp thấp nhiệt đới, có thể thành bão số 5",evt_0d9e17afd4ef,evt_0d9e17afd4ef,0.285,0.617,Claude (provisional; needs human spot-check)
24,INTRA_CLUSTER_WEAKEST_LINK,8483bd25b42f5d78,b857c0037e997a65,SAME_EVENT,NONE,Same Vinh flood after 399mm rain (two VnExpress pieces),vnexpress.net,vnexpress.net,Vì sao Vinh nhanh hết ngập sau trận mưa kỷ lục 399 mm?,Vinh hết ngập sau trận mưa kỷ lục,evt_8372397093a9,evt_8372397093a9,0.2847,0.136,Claude (provisional; needs human spot-check)
25,INTRA_CLUSTER_WEAKEST_LINK,b8d96fc90dee31b7,a13a4639ad6f1823,DIFFERENT_EVENT,GENERIC_INCIDENT,Two different mistaken bank-transfer stories,vietnamnet.vn,vietnamnet.vn,"Chuyển nhầm 340 triệu, nhận lại tiền sau 3 giờ",Người phụ nữ ở Quảng Trị trả lại gần 1 tỷ đồng cho người chuyển khoản nhầm,evt_687b4589cdea,evt_687b4589cdea,0.2847,2.3,Claude (provisional; needs human spot-check)
26,INTRA_CLUSTER_WEAKEST_LINK,0eb0acbb96442210,1f0804b3e2a46a70,DIFFERENT_EVENT,GENERIC_INCIDENT,Two unrelated truck accidents in Nghe An / Thach An,vietnamnet.vn,vietnamnet.vn,"Ô tô chở máy múc bị lật, đè trúng hai vợ chồng ở Nghệ An","Lật xe đầu kéo, thùng hàng đổ xuống nhà dân, 3 người tử vong",evt_75d448248e28,evt_75d448248e28,0.2846,0.973,Claude (provisional; needs human spot-check)
27,INTRA_CLUSTER_WEAKEST_LINK,121c64b6075a4780,9fd79c0b1bbdb840,UNCERTAIN,SAME_TOPIC_DIFFERENT_EVENT,Cambodia scam ring: individual case vs 100+ returnees; same story arc,vietnamnet.vn,vietnamnet.vn,"Nhóm thanh niên sang Campuchia, tham gia đường dây lừa đảo xuyên quốc gia",Tiếp nhận hơn 100 công dân Việt Nam do phía Campuchia bàn giao,evt_d3b32d200b1a,evt_d3b32d200b1a,0.2843,4.823,Claude (provisional; needs human spot-check)
28,INTRA_CLUSTER_WEAKEST_LINK,13fe8239d4c47124,5c393a8c317fa7d3,SAME_EVENT,NONE,Same arrest of Deputy Minister Tran Van Thuan (news + analysis),vietnamnet.vn,vietnamnet.vn,Thứ trưởng Bộ Y tế Trần Văn Thuấn bị bắt tạm giam,Thứ trưởng Trần Văn Thuấn và loạt giám đốc bệnh viện vướng lao lý vì đâu?,evt_c010cd0e8ead,evt_c010cd0e8ead,0.2833,4.282,Claude (provisional; needs human spot-check)
29,INTRA_CLUSTER_WEAKEST_LINK,0316b34f5277161b,b131eb37dcf9b4dd,DIFFERENT_EVENT,SAME_TOPIC_DIFFERENT_EVENT,Hanoi old-apartment renewal vs Ring Road 1 demolition: same topic,vietnamnet.vn,vietnamnet.vn,"Hà Nội chuẩn bị cải tạo chung cư cũ: Người dân đóng sẵn đồ, ngóng từng ngày rời đi","Dãy nhà xen kẹt ở Vành đai 1: Người dân Hà Nội bàn giao mặt bằng, bắt đầu phá dỡ",evt_dfddf04efbb3,evt_dfddf04efbb3,0.2829,0.639,Claude (provisional; needs human spot-check)
90,INTER_CLUSTER_NEAR,ec488781bcc0932e,ff9c31af0a933733,DIFFERENT_EVENT,WEATHER_SERIES,"Forecast 14/9 vs 15/9: correct split, different days",vietnamnet.vn,vietnamnet.vn,"Dự báo thời tiết 14/9/2026: Miền Bắc mưa lớn dồn dập, Hà Nội giảm nhiệt mạnh","Dự báo thời tiết 15/9: Đồng bằng Bắc Bộ mưa rất lớn, Hà Nội giảm còn 27 độ",evt_565764189eb4,evt_f544cce1ee57,0.0944,0.981,Claude (provisional; needs human spot-check)
91,INTER_CLUSTER_NEAR,7073224129564935,08093ea1e160d1f5,SAME_EVENT,SAME_STORY_FRAGMENTED,Same Hanoi rain night 14-15/9 (forecast vs flooding report): false split,vietnamnet.vn,vietnamnet.vn,"Miền Bắc tiếp diễn mưa lớn dữ dội, Hà Nội có nơi vượt 250mm đến đêm 15/9","Mưa lớn ở Hà Nội, nhiều khu vực xuất hiện điểm ngập",evt_f544cce1ee57,evt_60b7b2caf18f,0.1027,0.799,Claude (provisional; needs human spot-check)
92,INTER_CLUSTER_NEAR,4a39a2f2ba4e15a9,d28cfb8f44ccc628,DIFFERENT_EVENT,WEATHER_SERIES,Forecast 13/9 vs 10/9: correct split,vietnamnet.vn,vietnamnet.vn,"Dự báo thời tiết 13/9/2026: Trung Bộ tiếp diễn mưa lớn, Hà Nội cục bộ mưa rất to","Dự báo thời tiết 10/9/2026: Không khí lạnh tràn về, miền Bắc và Trung Bộ mưa lớn",evt_565764189eb4,evt_a61e40d393af,0.1045,3.059,Claude (provisional; needs human spot-check)
93,INTER_CLUSTER_NEAR,8a3e7ce1b6019e3e,ff9c31af0a933733,DIFFERENT_EVENT,WEATHER_SERIES,Forecast 20/9 vs 15/9: correct split,vietnamnet.vn,vietnamnet.vn,"Dự báo thời tiết 20/9: Miền Bắc nắng 34 độ, Trung và Nam Bộ có nơi mưa rất to","Dự báo thời tiết 15/9: Đồng bằng Bắc Bộ mưa rất lớn, Hà Nội giảm còn 27 độ",evt_27367a2c8c94,evt_f544cce1ee57,0.1073,4.995,Claude (provisional; needs human spot-check)
94,INTER_CLUSTER_NEAR,ff75351fb53e7df4,e46ff5c8086409cd,SAME_EVENT,SAME_STORY_FRAGMENTED,Same ASEAN Cup title celebration on 26/8: false split,vietnamnet.vn,vietnamnet.vn,Vỡ òa cảm xúc mừng đội tuyển Việt Nam vô địch ASEAN Cup 2026,"TPHCM đêm không ngủ, rực sắc đỏ mừng Việt Nam vô địch",evt_122f2138a71c,evt_1185d8e9c10a,0.1256,0.068,Claude (provisional; needs human spot-check)
95,INTER_CLUSTER_NEAR,7d75730c709be405,71be35ef07b05886,SAME_EVENT,SAME_STORY_FRAGMENTED,Same storm no.4 turning away on same day: false split,vietnamnet.vn,vietnamnet.vn,"Bão số 4 Narra đang di chuyển ra phía ngoài, tiếp tục xoay hướng","Bão số 4 Narra bắt đầu ngoặt ra ngoài, miền Bắc khi nào giảm mưa lớn?",evt_69a0bf5114aa,evt_1066c672ac08,0.1261,1.608,Claude (provisional; needs human spot-check)
96,INTER_CLUSTER_NEAR,e4715b06cec46154,ff75351fb53e7df4,DIFFERENT_EVENT,NONE,Celebration after 22/8 match vs after 26/8 title: correct split,vietnamnet.vn,vietnamnet.vn,"Cổ động viên TPHCM vỡ òa, xuống đường ăn mừng chiến thắng của tuyển Việt Nam",Vỡ òa cảm xúc mừng đội tuyển Việt Nam vô địch ASEAN Cup 2026,evt_8c332d0952ad,evt_122f2138a71c,0.1278,4.293,Claude (provisional; needs human spot-check)
97,INTER_CLUSTER_NEAR,d8a396b954b09c4f,dd90d55fbca8ff38,DIFFERENT_EVENT,WEATHER_SERIES,Forecast 23/8 vs 17/9: correct split,vietnamnet.vn,vietnamnet.vn,"Dự báo thời tiết 23/8/2026: Miền Bắc tiếp tục mưa lớn, dồn dập nhất ở 4 tỉnh",Dự báo thời tiết 17/9: Miền Bắc đến Nghệ An tiếp tục mưa lớn tầm tã,evt_2d096da7a5f7,evt_565764189eb4,0.1284,3.215,Claude (provisional; needs human spot-check)
98,INTER_CLUSTER_NEAR,f57b55df8e109eb3,2fc2054db62d4f66,DIFFERENT_EVENT,WEATHER_SERIES,Holiday weather vs forecast 19/9: correct split,vietnamnet.vn,vietnamnet.vn,"Thời tiết dịp Quốc khánh 2/9: Miền Bắc mưa giông, Hà Nội cao nhất 32 độ","Dự báo thời tiết 19/9: Hà Nội 34 độ, TPHCM mưa lớn vào chiều tối",evt_0b3ac06c4e70,evt_27367a2c8c94,0.1446,0.866,Claude (provisional; needs human spot-check)
99,INTER_CLUSTER_NEAR,350f88cd19d9645e,2fc2054db62d4f66,DIFFERENT_EVENT,WEATHER_SERIES,Forecast 30/8 vs 19/9: correct split,vietnamnet.vn,vietnamnet.vn,"Dự báo thời tiết 30/8/2026: Miền Bắc ngày nắng 35 độ, từ đêm mưa lớn dồn dập","Dự báo thời tiết 19/9: Hà Nội 34 độ, TPHCM mưa lớn vào chiều tối",evt_e06638406e0f,evt_27367a2c8c94,0.1467,0.248,Claude (provisional; needs human spot-check)
100,INTER_CLUSTER_NEAR,70ead58afccac978,3716c04a309726f9,DIFFERENT_EVENT,WEATHER_SERIES,Forecast 5/9 vs 7/9: correct split,vietnamnet.vn,vietnamnet.vn,"Dự báo thời tiết 5/9/2026: Cả nước nắng nhẹ sáng khai giảng, chiều có thể mưa","Dự báo thời tiết 7/9/2026: Miền Bắc có nơi nắng nóng, sắp đón không khí lạnh yếu",evt_ffdbd8a26cec,evt_a61e40d393af,0.1495,2.13,Claude (provisional; needs human spot-check)
101,INTER_CLUSTER_NEAR,3f4c7247c25ead5c,5333e815917bdc84,DIFFERENT_EVENT,WEATHER_SERIES,South rain 21-24/9 vs North rain: different regions/days,vietnamnet.vn,vietnamnet.vn,"4 tỉnh và toàn Nam Bộ mưa rất to, miền Bắc tạnh ráo đến khi nào?","Mưa lớn dồn dập còn kéo dài, miền Bắc và Hà Nội khi nào tạnh?",evt_690a478e4007,evt_f544cce1ee57,0.1566,4.585,Claude (provisional; needs human spot-check)
102,INTER_CLUSTER_NEAR,c395f40971b8c204,bb184ea6e58339a2,SAME_EVENT,SAME_STORY_FRAGMENTED,Same early-season cold air front (two articles same day): false split,vietnamnet.vn,vietnamnet.vn,"Không khí lạnh đầu mùa áp sát khiến miền Bắc mưa giông, Biển Đông có thể có bão","Không khí lạnh đầu mùa sắp tràn về, miền Bắc có nơi dưới 19 độ",evt_5afa461b9996,evt_a61e40d393af,0.1684,0.353,Claude (provisional; needs human spot-check)
103,INTER_CLUSTER_NEAR,3f4c7247c25ead5c,af46d511d41df674,DIFFERENT_EVENT,WEATHER_SERIES,South rain forecast vs forecast 18/9: different,vietnamnet.vn,vietnamnet.vn,"4 tỉnh và toàn Nam Bộ mưa rất to, miền Bắc tạnh ráo đến khi nào?","Dự báo thời tiết 18/9: Miền Bắc giảm mưa, mưa lớn dồn xuống Trung và Nam Bộ",evt_690a478e4007,evt_565764189eb4,0.1696,2.623,Claude (provisional; needs human spot-check)
104,INTER_CLUSTER_NEAR,6ecea7e93d2fef96,a366bf4dcae5b299,SAME_EVENT,SAME_STORY_FRAGMENTED,Same start of tailgating fines on the expressway: false split,vietnamnet.vn,vietnamnet.vn,Hai trường hợp tài xế ô tô đầu tiên bị xử phạt vì không giữ khoảng cách trên cao tốc,"Ngày đầu phạt lỗi không giữ khoảng cách, nhiều tài xế nói ‘xe trước phanh’",evt_55987c103059,evt_0a93ff449188,0.177,1.006,Claude (provisional; needs human spot-check)
105,INTER_CLUSTER_NEAR,9bbe7c39f2692e05,ed8a15e7da36f351,SAME_EVENT,SAME_STORY_FRAGMENTED,Same tailgating-fine rollout (CSGT explanation vs driver advice): false split,vietnamnet.vn,vietnamnet.vn,Cục CSGT: Phạt xe không giữ khoảng cách trên cao tốc không phải 'làm khó' tài xế,"Để tránh bị phạt lỗi không giữ khoảng cách, tài xế cần nhớ điều này",evt_a0cb61a3964c,evt_55987c103059,0.177,0.767,Claude (provisional; needs human spot-check)
106,INTER_CLUSTER_NEAR,2fc2054db62d4f66,af46d511d41df674,DIFFERENT_EVENT,WEATHER_SERIES,Forecast 19/9 vs 18/9: correct split,vietnamnet.vn,vietnamnet.vn,"Dự báo thời tiết 19/9: Hà Nội 34 độ, TPHCM mưa lớn vào chiều tối","Dự báo thời tiết 18/9: Miền Bắc giảm mưa, mưa lớn dồn xuống Trung và Nam Bộ",evt_27367a2c8c94,evt_565764189eb4,0.1782,1.456,Claude (provisional; needs human spot-check)
107,INTER_CLUSTER_NEAR,c295ecb76bd51804,5333e815917bdc84,DIFFERENT_EVENT,WEATHER_SERIES,Rain outlook 13/9 vs later: different days,vietnamnet.vn,vietnamnet.vn,"Điểm tên vùng tâm mưa lớn dồn dập ở miền Trung, Bắc Bộ sắp mưa to trở lại","Mưa lớn dồn dập còn kéo dài, miền Bắc và Hà Nội khi nào tạnh?",evt_088e37d4e3f5,evt_f544cce1ee57,0.1808,3.989,Claude (provisional; needs human spot-check)
108,INTER_CLUSTER_NEAR,b003ab5c1dff91f1,d06d7f6cfa44cca9,SAME_EVENT,SAME_STORY_FRAGMENTED,Same tailgating-fine rollout from 27/8: false split,vietnamnet.vn,vietnamnet.vn,"CSGT chỉ xử lý xe cố tình bám sát đuôi, không giữ khoảng cách trên cao tốc","Từ 27/8, CSGT phạt tài xế không giữ khoảng cách với xe đi trước trên cao tốc",evt_ae5106fcd3f4,evt_aad1090df9ae,0.1874,0.037,Claude (provisional; needs human spot-check)
109,INTER_CLUSTER_NEAR,742b33e574c2d6d3,d8a396b954b09c4f,SAME_EVENT,SAME_STORY_FRAGMENTED,Same storm no.4 state on 23/8 (report vs forecast): false split,vietnamnet.vn,vietnamnet.vn,"Bão số 4 trên vùng biển Quảng Ninh - Hải Phòng, miền Bắc đối mặt mưa lớn kéo dài","Dự báo thời tiết 23/8/2026: Miền Bắc tiếp tục mưa lớn, dồn dập nhất ở 4 tỉnh",evt_487d03706253,evt_2d096da7a5f7,0.1891,0.626,Claude (provisional; needs human spot-check)
